"Date","Price","Open","High","Low","Change %"
"Feb 11, 2022","127.634","127.634","127.634","127.634","-2.42%"
"Feb 10, 2022","130.797","130.797","130.797","130.797","-1.04%"
"Feb 09, 2022","132.169","132.169","132.169","132.169","1.84%"
"Feb 08, 2022","129.781","129.781","129.781","129.781","1.30%"
"Feb 07, 2022","128.118","128.118","128.118","128.118","-0.48%"
"Feb 04, 2022","128.742","128.742","128.742","128.742","-0.42%"
"Feb 03, 2022","129.279","129.279","129.279","129.279","-2.44%"
"Feb 02, 2022","132.518","132.518","132.518","132.518","0.29%"
"Feb 01, 2022","132.138","132.138","132.138","132.138","0.28%"
"Jan 31, 2022","131.766","131.766","131.766","131.766","2.54%"
"Jan 28, 2022","128.497","128.497","128.497","128.497","2.20%"
"Jan 27, 2022","125.733","125.733","125.733","125.733","0.53%"
"Jan 26, 2022","125.067","125.067","125.067","125.067","0.41%"
"Jan 25, 2022","124.556","124.556","124.556","124.556","-1.26%"
"Jan 24, 2022","126.145","126.145","126.145","126.145","-0.60%"
"Jan 21, 2022","126.908","126.908","126.908","126.908","-2.91%"
"Jan 20, 2022","130.715","130.715","130.715","130.715","-0.06%"
"Jan 19, 2022","130.787","130.787","130.787","130.787","-0.44%"
"Jan 18, 2022","131.359","131.359","131.359","131.359","-1.80%"
"Jan 17, 2022","133.769","133.769","133.769","133.769","0.33%"
"Jan 14, 2022","133.323","133.323","133.323","133.323","0.51%"
"Jan 13, 2022","132.649","132.649","132.649","132.649","-2.02%"
"Jan 12, 2022","135.389","135.389","135.389","135.389","0.23%"
"Jan 11, 2022","135.074","135.074","135.074","135.074","1.63%"
"Jan 10, 2022","132.902","132.902","132.902","132.902","-0.17%"
"Jan 07, 2022","133.134","133.134","133.134","133.134","-0.29%"
"Jan 06, 2022","133.526","133.526","133.526","133.526","-0.09%"
"Jan 05, 2022","133.641","133.641","133.641","133.641","-2.21%"
"Jan 04, 2022","136.659","136.659","136.659","136.659","0.09%"
"Jan 03, 2022","136.542","136.542","136.542","136.542","1.33%"
"Dec 31, 2021","134.745","134.745","134.745","134.745","-0.65%"
"Dec 30, 2021","135.625","135.625","135.625","135.625","0.48%"
"Dec 29, 2021","134.975","134.975","134.975","134.975","-0.30%"
"Dec 28, 2021","135.375","135.375","135.375","135.375","-0.53%"
"Dec 27, 2021","136.103","136.103","136.103","136.103","0.57%"
"Dec 24, 2021","135.333","135.333","135.333","135.333","-0.08%"
"Dec 23, 2021","135.438","135.438","135.438","135.438","0.83%"
"Dec 22, 2021","134.326","134.326","134.326","134.326","0.67%"
"Dec 21, 2021","133.438","133.438","133.438","133.438","3.02%"
"Dec 20, 2021","129.527","129.527","129.527","129.527","-1.34%"
"Dec 17, 2021","131.280","131.280","131.280","131.280","-0.16%"
"Dec 16, 2021","131.490","131.490","131.490","131.490","-1.60%"
"Dec 15, 2021","133.632","133.632","133.632","133.632","0.72%"
"Dec 14, 2021","132.674","132.674","132.674","132.674","-0.88%"
"Dec 13, 2021","133.849","133.849","133.849","133.849","-1.40%"
"Dec 10, 2021","135.744","135.744","135.744","135.744","0.47%"
"Dec 09, 2021","135.111","135.111","135.111","135.111","-0.85%"
"Dec 08, 2021","136.270","136.270","136.270","136.270","-0.19%"
"Dec 07, 2021","136.536","136.536","136.536","136.536","2.81%"
"Dec 06, 2021","132.801","132.801","132.801","132.801","2.16%"
"Dec 03, 2021","129.992","129.992","129.992","129.992","-1.68%"
"Dec 02, 2021","132.215","132.215","132.215","132.215","0.92%"
"Dec 01, 2021","131.016","131.016","131.016","131.016","-0.59%"
"Nov 30, 2021","131.800","131.800","131.800","131.800","-2.63%"
"Nov 29, 2021","135.357","135.357","135.357","135.357","1.15%"
"Nov 26, 2021","133.821","133.821","133.821","133.821","-3.94%"
"Nov 25, 2021","139.314","139.314","139.314","139.314","0.06%"
"Nov 24, 2021","139.228","139.228","139.228","139.228","0.66%"
"Nov 23, 2021","138.319","138.319","138.319","138.319","-0.27%"
"Nov 22, 2021","138.693","138.693","138.693","138.693","-1.62%"
"Nov 19, 2021","140.978","140.978","140.978","140.978","-0.16%"
"Nov 18, 2021","141.209","141.209","141.209","141.209","-0.56%"
"Nov 17, 2021","142.007","142.007","142.007","142.007","-1.01%"
"Nov 16, 2021","143.463","143.463","143.463","143.463","1.12%"
"Nov 15, 2021","141.876","141.876","141.876","141.876","-0.02%"
"Nov 12, 2021","141.903","141.903","141.903","141.903","0.33%"
"Nov 11, 2021","141.431","141.431","141.431","141.431","0.08%"
"Nov 10, 2021","141.325","141.325","141.325","141.325","-0.62%"
"Nov 09, 2021","142.203","142.203","142.203","142.203","-0.03%"
"Nov 08, 2021","142.245","142.245","142.245","142.245","0.09%"
"Nov 05, 2021","142.115","142.115","142.115","142.115","1.35%"
"Nov 04, 2021","140.220","140.220","140.220","140.220","1.43%"
"Nov 03, 2021","138.241","138.241","138.241","138.241","0.83%"
"Nov 02, 2021","137.098","137.098","137.098","137.098","-0.56%"
"Nov 01, 2021","137.872","137.872","137.872","137.872","0.85%"
"Oct 29, 2021","136.704","136.704","136.704","136.704","-0.75%"
"Oct 28, 2021","137.743","137.743","137.743","137.743","1.26%"
"Oct 27, 2021","136.027","136.027","136.027","136.027","-0.14%"
"Oct 26, 2021","136.223","136.223","136.223","136.223","0.08%"
"Oct 25, 2021","136.114","136.114","136.114","136.114","0.30%"
"Oct 22, 2021","135.708","135.708","135.708","135.708","-0.56%"
"Oct 21, 2021","136.476","136.476","136.476","136.476","0.06%"
"Oct 20, 2021","136.399","136.399","136.399","136.399","0.12%"
"Oct 19, 2021","136.233","136.233","136.233","136.233","0.45%"
"Oct 18, 2021","135.624","135.624","135.624","135.624","-0.43%"
"Oct 15, 2021","136.205","136.205","136.205","136.205","0.97%"
"Oct 14, 2021","134.896","134.896","134.896","134.896","0.95%"
"Oct 13, 2021","133.623","133.623","133.623","133.623","0.86%"
"Oct 12, 2021","132.482","132.482","132.482","132.482","-0.32%"
"Oct 11, 2021","132.906","132.906","132.906","132.906","-0.63%"
"Oct 08, 2021","133.751","133.751","133.751","133.751","-0.20%"
"Oct 07, 2021","134.015","134.015","134.015","134.015","1.66%"
"Oct 06, 2021","131.825","131.825","131.825","131.825","0.25%"
"Oct 05, 2021","131.498","131.498","131.498","131.498","1.06%"
"Oct 04, 2021","130.117","130.117","130.117","130.117","-1.89%"
"Oct 01, 2021","132.626","132.626","132.626","132.626","0.99%"
"Sep 30, 2021","131.327","131.327","131.327","131.327","-0.18%"
"Sep 29, 2021","131.560","131.560","131.560","131.560","-0.22%"
"Sep 28, 2021","131.849","131.849","131.849","131.849","-1.90%"
"Sep 27, 2021","134.397","134.397","134.397","134.397","0.29%"
"Sep 24, 2021","134.013","134.013","134.013","134.013","-0.41%"
"Sep 23, 2021","134.560","134.560","134.560","134.560","1.23%"
"Sep 22, 2021","132.926","132.926","132.926","132.926","1.21%"
"Sep 21, 2021","131.341","131.341","131.341","131.341","-0.18%"
"Sep 20, 2021","131.572","131.572","131.572","131.572","-1.14%"
"Sep 17, 2021","133.095","133.095","133.095","133.095","-0.40%"
"Sep 16, 2021","133.633","133.633","133.633","133.633","0.80%"
"Sep 15, 2021","132.566","132.566","132.566","132.566","-0.03%"
"Sep 14, 2021","132.608","132.608","132.608","132.608","-0.92%"
"Sep 13, 2021","133.842","133.842","133.842","133.842","0.44%"
"Sep 10, 2021","133.252","133.252","133.252","133.252","-0.85%"
"Sep 09, 2021","134.394","134.394","134.394","134.394","-0.50%"
"Sep 08, 2021","135.075","135.075","135.075","135.075","-0.60%"
"Sep 07, 2021","135.896","135.896","135.896","135.896","0.57%"
"Sep 06, 2021","135.131","135.131","135.131","135.131","0.24%"
"Sep 03, 2021","134.809","134.809","134.809","134.809","-0.53%"
"Sep 02, 2021","135.526","135.526","135.526","135.526","-0.78%"
"Sep 01, 2021","136.591","136.591","136.591","136.591","1.11%"
"Aug 31, 2021","135.087","135.087","135.087","135.087","0.21%"
"Aug 30, 2021","134.798","134.798","134.798","134.798","-0.16%"
"Aug 27, 2021","135.016","135.016","135.016","135.016","0.48%"
"Aug 26, 2021","134.367","134.367","134.367","134.367","-0.94%"
"Aug 25, 2021","135.640","135.640","135.640","135.640","-0.01%"
"Aug 24, 2021","135.659","135.659","135.659","135.659","1.61%"
"Aug 23, 2021","133.505","133.505","133.505","133.505","0.97%"
"Aug 20, 2021","132.226","132.226","132.226","132.226","0.88%"
"Aug 19, 2021","131.078","131.078","131.078","131.078","-1.24%"
"Aug 18, 2021","132.720","132.720","132.720","132.720","-0.07%"
"Aug 17, 2021","132.817","132.817","132.817","132.817","-1.14%"
"Aug 16, 2021","134.344","134.344","134.344","134.344","-0.76%"
"Aug 13, 2021","135.367","135.367","135.367","135.367","-0.09%"
"Aug 12, 2021","135.484","135.484","135.484","135.484","-0.04%"
"Aug 11, 2021","135.534","135.534","135.534","135.534","0.17%"
"Aug 10, 2021","135.310","135.310","135.310","135.310","0.36%"
"Aug 09, 2021","134.824","134.824","134.824","134.824","0.00%"
"Aug 06, 2021","134.818","134.818","134.818","134.818","0.13%"
"Aug 05, 2021","134.645","134.645","134.645","134.645","0.53%"
